Hero's Name,Attributes,Win Rate(All Skills),Matches Played(All Skills),Win Rate(Tournament),Matches Played(Tournament),Win Rate(Very High Level),Matches Played(Very High Level),Win Rate(High Level),Matches Played(High Level),Win Rate(Normal),Matches Played(Normal),,,,,,,
Magnus,Strength,46.34%,593173,47.86%,583,48.28%,"116,072",47.00%,"78,559",46.20%,"123,645",,,,,,,
Terrorblade,Agility,46.32%,368138,36.29%,124,45.80%,"45,838",46.32%,"34,174",46.76%,"100,231",,,,,,,
Shadow Demon,Intelligence,46.18%,598293,52.67%,1219,47.12%,"131,287",46.47%,"76,335",46.49%,"116,891",,,,,,,
Grimstroke,Intelligence,46.02%,1297618,43.35%,1548,45.46%,"250,845",46.11%,"164,470",47.48%,"194,935",,,,,,,
Puck,Intelligence,46.01%,586790,50.17%,586,47.45%,"118,808",46.55%,"68,809",46.00%,"139,866",,,,,,,
Tinker,Intelligence,45.87%,1959771,52.78%,540,47.19%,"284,465",46.02%,"214,117",44.75%,"359,035",,,,,,,
Lina,Intelligence,45.84%,2579093,52.25%,2618,47.47%,"539,107",46.65%,"309,679",45.74%,"514,104",,,,,,,
Death Prophet,Intelligence,45.83%,377872,43.37%,392,47.06%,"38,673",46.33%,"30,092",46.36%,"104,994",,,,,,,
Ember Spirit,Agility,45.77%,1945954,47.59%,1536,46.68%,"367,440",46.16%,"248,190",45.93%,"415,393",,,,,,,
Oracle,Intelligence,45.74%,441218,47.24%,635,47.13%,"109,828",46.76%,"59,639",45.94%,"74,425",,,,,,,
Io,Strength,45.73%,320569,61.88%,160,48.08%,"40,789",46.58%,"27,246",45.61%,"95,260",,,,,,,
Leshrac,Intelligence,45.57%,601513,59.90%,1666,47.11%,"149,936",45.91%,"72,297",46.30%,"125,186",,,,,,,
Rubick,Intelligence,45.56%,3062577,51.16%,2068,46.47%,"594,143",45.68%,"401,754",46.46%,"502,778",,,,,,,
Tusk,Strength,45.40%,877261,41.00%,461,45.48%,"123,036",45.58%,"93,135",45.50%,"181,594",,,,,,,
Doom,Strength,45.40%,504329,36.99%,146,45.82%,"65,469",45.70%,"52,767",46.02%,"124,195",,,,,,,
Alchemist,Strength,45.37%,828963,49.55%,337,47.10%,"87,050",46.30%,"72,791",44.80%,"206,711",,,,,,,
Queen of Pain,Intelligence,45.29%,1170203,44.68%,555,47.06%,"189,395",45.82%,"129,368",46.30%,"249,458",,,,,,,
Medusa,Agility,45.24%,570327,37.11%,97,43.00%,"28,075",42.59%,"33,622",47.26%,"145,068",,,,,,,
Nature's Prophet,Intelligence,45.01%,845048,49.81%,263,44.59%,"72,253",43.90%,"60,342",45.43%,"270,582",,,,,,,
Morphling,Agility,44.61%,862417,49.58%,595,46.56%,"151,505",44.24%,"96,749",43.90%,"181,467",,,,,,,
Tiny,Strength,43.84%,1276912,49.59%,1452,44.32%,"269,553",43.80%,"158,188",43.45%,"295,554",,,,,,,
Earth Spirit,Strength,43.52%,351858,44.30%,316,44.42%,"71,121",44.00%,"45,524",42.56%,"83,250",,,,,,,
Batrider,Intelligence,42.96%,208567,48.12%,239,44.90%,"38,299",43.78%,"21,436",43.67%,"56,156",,,,,,,
Lone Druid,Agility,42.49%,146075,62.89%,159,46.64%,"22,317",43.11%,"13,796",41.11%,"50,689",,,,,,,
